persona_id,treatment_group,pre_expectation,post_expectation,expectation_change,persona_age,persona_gender,persona_education,persona_income,persona_region,persona_province,persona_urban_rural,persona_financial_literacy,persona_media_exposure,persona_risk_attitude,persona_expenditure_bracket,persona_expenditure
P17509238361189,media_narrative_negative,4.0,4.0,0.0,55,Female,Bachelor's Degree,6926524.450474241,Sulampua,Central Sulawesi,Urban,7,8,7,3.1-4 Juta,3640595.5674117366
P17509238367303,full_policy_context,5.0,4.0,-1.0,41,Female,Senior High School,8324307.121404646,Java,West Java,Urban,6,5,4,4.1-5 Juta,4740572.259768084
P17509238363256,media_narrative_positive,5.0,4.0,-1.0,77,Female,Diploma,8019423.057098525,Sulampua,Central Sulawesi,Urban,6,8,4,5.1-6 Juta,5841917.508712335
P17509238364165,full_policy_context,4.0,4.0,0.0,23,Female,Bachelor's Degree,9676313.07448489,Java,Central Java,Rural,8,6,7,4.1-5 Juta,4396888.9675569795
P17509238365481,full_policy_context,5.0,4.0,-1.0,29,Male,Diploma,10509502.326538056,Kalimantan,North Kalimantan,Urban,7,6,7,4.1-5 Juta,4712738.48804439
P17509238369791,media_narrative_positive,5.0,4.0,-1.0,67,Female,Senior High School,2436675.4799950565,Java,Yogyakarta,Urban,5,6,5,1-2 Juta,1267130.8226131091
P17509238366089,media_narrative_negative,6.0,4.0,-2.0,45,Male,Senior High School,2389578.980090675,Bali-Nusa,West Nusa Tenggara,Rural,4,4,3,1-2 Juta,1154483.2957275598
P17509238365096,current_inflation_target,5.0,4.0,-1.0,32,Female,Senior High School,4554082.429335814,Java,Central Java,Urban,5,5,4,3.1-4 Juta,3136737.8754722364
P17509238365096,media_narrative_positive,5.0,4.0,-1.0,39,Female,Senior High School,3745854.665277428,Sumatra,Riau Islands,Urban,5,6,6,2.1-3 Juta,2601547.2074900037
P17509238366282,full_policy_context,5.0,4.0,-1.0,28,Female,Diploma,4126026.845966369,Sumatra,West Sumatra,Urban,6,7,5,2.1-3 Juta,2028759.4118595286
P17509238368652,policy_rate_decision,5.0,4.0,-1.0,37,Male,Diploma,7628034.7635982055,Sumatra,Jambi,Rural,6,4,5,4.1-5 Juta,4959519.477443183
P17509238363038,current_inflation_target,5.0,4.0,-1.0,37,Female,Senior High School,5090934.865507728,Java,East Java,Urban,5,5,3,3.1-4 Juta,3256820.435740864
P17509238368672,policy_rate_decision,5.0,4.0,-1.0,28,Male,Senior High School,6393454.452505426,Java,Banten,Rural,5,4,6,5.1-6 Juta,5496328.988061985
P17509238363779,media_narrative_negative,5.0,4.0,-1.0,35,Female,Diploma,7326912.417676832,Java,West Java,Urban,6,7,1,4.1-5 Juta,4251345.247913762
P17509238367912,current_inflation_target,4.0,4.0,0.0,38,Male,Bachelor's Degree,8146810.3863881705,Java,Jakarta,Urban,7,8,4,4.1-5 Juta,4767010.583547478
P17509238364086,control,5.0,5.0,0.0,31,Female,Senior High School,6106769.530177558,Java,Banten,Rural,4,4,8,4.1-5 Juta,4497472.126218036
P17509238369316,policy_rate_decision,5.0,5.0,0.0,50,Male,Senior High School,6503584.7604210265,Java,West Java,Urban,4,6,5,4.1-5 Juta,4161797.631340756
P17509238365495,media_narrative_positive,5.0,4.0,-1.0,37,Male,Diploma,15042657.682802215,Java,Jakarta,Urban,6,7,2,6.1-7 Juta,6734647.701416588
P17509238361826,control,5.0,5.0,0.0,43,Female,Senior High School,4234251.879318651,Bali-Nusa,Bali,Urban,4,5,5,2.1-3 Juta,2741001.1340040443
P17509238367750,media_narrative_positive,6.0,4.0,-2.0,43,Female,Senior High School,2692460.427786463,Java,East Java,Rural,4,3,3,2.1-3 Juta,2985696.8070955463
P17509238364644,current_inflation_target,6.0,4.0,-2.0,31,Male,Senior High School,2950156.2395122144,Kalimantan,South Kalimantan,Rural,4,3,7,2.1-3 Juta,2235292.561754935
