persona_id,treatment_group,pre_expectation,post_expectation,expectation_change,persona_age,persona_gender,persona_education,persona_income,persona_region,persona_province,persona_urban_rural,persona_financial_literacy,persona_media_exposure,persona_risk_attitude,persona_expenditure_bracket,persona_expenditure
P17516149749293,policy_rate_decision,5.0,4.0,-1.0,40,Female,Senior High School,6403528.403757597,Java,Banten,Rural,5,3,5,5.1-6 Juta,5564296.170849926
P17516149742322,control,3.8,4.0,0.20000000000000018,28,Female,Bachelor's Degree,33338396.460662823,Sumatra,Lampung,Urban,8,7,7,> 8 Juta,8103183.837068804
P17516149749500,control,5.0,4.0,-1.0,45,Female,Senior High School,2948122.3401620034,Java,East Java,Urban,6,5,7,1-2 Juta,1080393.217383917
P17516149742657,full_policy_context,5.0,6.0,1.0,60,Male,Senior High School,2140739.2033970486,Java,Banten,Rural,4,3,3,1-2 Juta,1195113.9961053021
P17516149749425,media_narrative_positive,3.8,4.8,1.0,44,Female,Bachelor's Degree,8053754.250350509,Sulampua,Gorontalo,Urban,7,9,6,3.1-4 Juta,3411766.382676656
P17516149747628,full_policy_context,5.0,5.0,0.0,49,Female,Senior High School,3343511.7974842787,Bali-Nusa,West Nusa Tenggara,Rural,5,4,7,2.1-3 Juta,2702447.2468526727
P17516149747399,media_narrative_positive,5.0,5.0,0.0,52,Male,Senior High School,5537535.637433661,Java,Yogyakarta,Rural,5,3,3,5.1-6 Juta,5546133.24667455
P17516149748477,media_narrative_negative,5.0,6.0,1.0,55,Male,Senior High School,4337527.558453673,Sulampua,Maluku,Urban,5,5,4,2.1-3 Juta,2479141.698936769
P17516149745926,policy_rate_decision,4.0,4.0,0.0,39,Female,Senior High School,6269628.749485507,Sulampua,West Sulawesi,Rural,6,4,6,5.1-6 Juta,5886721.220162626
P17516149747418,policy_rate_decision,4.0,4.0,0.0,45,Female,Senior High School,10777795.15064538,Sulampua,West Sulawesi,Urban,5,6,6,5.1-6 Juta,5548977.584851482
P17516149741750,current_inflation_target,4.0,5.0,1.0,60,Male,Senior High School,15367273.828911703,Sumatra,Lampung,Urban,6,5,6,> 8 Juta,9812328.073911838
P17516149747226,media_narrative_positive,4.0,5.0,1.0,33,Male,Senior High School,6199709.104368022,Java,West Java,Urban,4,6,5,3.1-4 Juta,3617341.445264324
P17516149746566,policy_rate_decision,5.0,5.5,0.5,31,Male,Senior High School,4135108.678001449,Sumatra,Bengkulu,Urban,4,6,8,2.1-3 Juta,2196619.4125380577
P17516149749809,media_narrative_positive,4.0,4.8,0.7999999999999998,23,Female,Bachelor's Degree,3060013.133752021,Java,West Java,Urban,7,7,7,1-2 Juta,1814093.105954302
P17516149746943,policy_rate_decision,5.0,4.0,-1.0,56,Male,Senior High School,4441346.491460794,Sumatra,Bengkulu,Urban,4,6,4,2.1-3 Juta,2414370.2007253747
P17516149745572,control,5.0,5.0,0.0,31,Female,Senior High School,4922428.930703412,Java,Banten,Rural,4,4,6,3.1-4 Juta,3817367.136728989
P17516149748002,current_inflation_target,5.0,6.0,1.0,36,Male,Senior High School,4468485.68571603,Sumatra,South Sumatra,Rural,5,4,2,4.1-5 Juta,4542610.72019206
P17516149745117,current_inflation_target,3.8,5.0,1.2000000000000002,41,Male,Master's Degree,19526707.877056852,Bali-Nusa,Bali,Rural,8,5,6,7.1-8 Juta,7644678.360129485
P17516149746016,full_policy_context,5.0,5.0,0.0,25,Male,Senior High School,5335115.2806471465,Sumatra,Jambi,Urban,4,5,7,2.1-3 Juta,2518338.3123370144
